ax,ay,az,gx,gy,gz,mav,rms
10.41,1.35,-1.13,-0.01,0.11,0.07,369.79,406.2
9.99,1.26,-1.26,-0.08,0.09,-0.02,288.25,346.55
9.89,1.28,-1.2,-0.09,0.09,0.03,265.15,402.06
10.3,1.28,-1.27,-0.05,0.05,0.04,190.21,217.91
10.37,1.22,-1.3,-0.04,0.04,0.01,276.97,408.82
10.09,1.18,-0.67,-0.06,-0.02,-0.06,394.69,659.55
11.89,1.33,-1.48,-0.09,-0.3,-0.42,457.76,626.47
12.88,2.11,-2.29,-0.39,0.03,-1.43,489.91,797.89
11.5,3.18,-2.1,-0.99,-0.28,-2.32,460.19,642.85
9.03,4.78,-1.57,-1.52,-0.35,-2.81,1633.69,2024.85
4.46,6.03,0.17,-1.6,-0.62,-2.89,1157.89,1458.07
2.74,7.52,1.32,-1.29,-0.75,-2.15,1043.97,1246.56
1.03,8.4,1.98,-1.17,-0.34,-1.93,876.75,1075.81
-1.3,8.03,3.34,-0.81,-0.19,-1.14,1366.7,1637.23
-1.3,8.03,3.34,-0.81,-0.19,-1.14,1361.14,1549.68
-1.83,8.7,4.08,-0.43,-0.17,-0.47,1370.72,1544.19
-1.8,8.99,3.99,-0.07,0.07,0.02,1360.47,1513.23
-1.55,9.0,3.51,-0.06,0.01,0.11,1424.13,1559.71
-0.79,8.58,3.55,-0.09,0.0,0.07,1400.64,1516.53
-2.05,8.42,4.14,0.18,0.21,0.44,1122.52,1255.41
-2.4,8.09,4.63,1.12,0.48,1.8,1042.9,1152.12
-0.13,6.11,3.56,1.56,0.68,2.87,1035.69,1159.48
4.71,7.02,0.73,1.49,1.1,3.32,840.31,969.11
8.36,5.04,-1.54,1.06,0.46,3.21,756.61,914.42
11.22,2.47,-1.48,0.65,0.42,2.34,585.97,681.97
11.46,1.96,-1.14,0.26,0.16,1.35,655.4,761.04
10.86,1.45,-1.02,0.15,-0.39,0.91,482.0,515.61
10.94,0.93,-0.97,0.08,0.06,0.36,318.75,353.26
10.91,1.04,-1.21,0.0,0.13,0.01,246.73,277.16
10.06,1.0,-0.88,-0.06,0.03,-0.02,200.41,237.64
10.3,1.02,-0.95,-0.06,0.04,-0.0,185.89,249.34
10.17,1.04,-1.14,-0.08,-0.04,0.03,181.43,210.55
9.91,0.98,-0.9,-0.1,0.04,0.02,171.67,227.69
10.23,1.02,-0.96,-0.09,0.01,0.03,286.44,481.65
11.1,0.99,-0.76,-0.05,-0.23,0.01,407.58,539.81
11.56,0.94,-1.74,-0.13,-0.26,-0.5,427.21,579.12
14.26,1.68,-3.41,-0.59,-0.16,-1.61,615.47,869.14
11.88,3.02,-3.26,-1.21,0.12,-2.83,1234.68,1667.96
6.73,4.3,-0.98,-1.65,-0.19,-3.31,1753.03,1966.71
2.41,5.94,0.19,-1.8,-0.76,-3.09,1248.75,1408.76
1.17,7.94,1.6,-1.5,-0.39,-2.24,1016.78,1186.81
-1.27,7.41,3.82,-1.04,-0.15,-1.73,1474.37,1664.99
-2.24,7.98,4.28,-0.53,-0.01,-0.82,1324.85,1496.62
-2.48,7.93,4.66,-0.2,0.07,-0.26,1372.5,1520.8
-2.3,8.15,4.13,-0.17,-0.1,0.0,1339.55,1468.1
-1.9,8.37,4.24,-0.08,-0.01,0.16,1448.13,1557.29
-3.35,7.73,5.24,0.34,-0.18,1.01,1246.74,1375.24
-2.21,7.14,4.86,1.2,0.9,2.12,1106.0,1225.51
0.01,6.77,3.11,1.83,0.67,3.36,932.18,1077.61
5.77,5.52,0.93,1.86,1.23,3.67,752.65,968.72
11.56,3.86,-1.5,1.17,0.88,3.15,841.68,955.54
11.18,1.69,-0.68,0.56,0.12,2.03,644.21,715.39
12.16,1.5,-1.89,0.08,-0.32,1.15,464.38,511.61
11.42,0.95,-0.52,-0.07,-0.22,0.36,400.56,441.8
10.45,1.01,-1.15,-0.01,0.28,-0.13,344.72,429.32
10.18,1.16,-1.38,-0.02,0.02,0.0,267.76,318.11
10.54,1.25,-1.3,-0.1,-0.01,0.04,241.96,328.46
10.13,1.24,-0.87,-0.09,0.11,-0.02,236.5,326.75
9.98,1.41,-1.09,-0.11,0.15,-0.0,226.53,283.77
10.15,1.21,-0.86,-0.07,0.03,0.08,259.2,349.64
11.0,1.33,-0.96,-0.1,-0.03,0.04,406.01,652.3
11.68,1.21,-1.4,-0.14,-0.19,-0.43,585.03,854.33
13.56,1.58,-2.53,-0.54,0.12,-1.78,466.72,557.94
