ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
-2.02,7.56,2.79,0.79,0.67,1.63,528.57,613.27,0,8,1
-0.16,7.02,2.04,0.97,1.15,2.66,494.79,588.35,0,8,1
3.75,8.34,-0.34,0.55,1.38,2.77,428.22,482.77,0,8,1
6.75,6.33,0.42,-0.01,0.65,2.88,439.81,552.47,0,8,1
9.54,4.25,1.8,0.03,0.87,2.33,557.19,751.79,0,8,1
10.09,2.58,0.42,0.01,-0.18,1.8,640.5,788.09,0,8,1
11.44,1.26,-0.11,-0.16,-0.59,1.35,627.41,781.84,0,8,1
11.6,0.74,0.26,-0.09,-0.25,0.94,711.31,926.29,0,8,1
11.43,0.24,0.06,-0.03,0.08,0.51,448.08,558.19,0,8,1
10.2,0.22,0.4,-0.06,0.33,-0.14,466.99,553.6,0,8,1
10.44,0.38,0.11,-0.09,-0.06,0.03,403.44,472.89,0,8,1
10.0,0.42,0.39,-0.09,0.05,-0.0,449.37,564.62,0,8,1
9.99,0.35,0.38,-0.08,0.13,0.01,492.05,560.16,0,8,1
10.12,0.3,0.44,-0.08,0.1,0.0,450.57,512.13,0,8,1
10.21,0.39,0.25,-0.06,0.04,0.01,392.57,436.64,0,8,1
10.18,0.33,0.52,-0.06,0.01,0.04,376.24,464.04,0,8,1
11.14,0.31,0.68,0.02,-0.06,-0.17,451.93,547.05,0,8,1
10.84,0.78,-0.08,0.04,-0.32,-0.59,419.97,507.55,0,8,1
12.19,1.44,-0.69,-0.22,-0.18,-1.14,695.88,1037.3,0,8,1
12.05,2.54,-1.21,-0.49,0.06,-1.94,598.01,748.07,0,8,1
9.71,3.75,-0.56,-0.69,-0.17,-2.55,693.15,904.08,0,8,1
7.24,5.59,-0.16,-0.96,-0.39,-2.75,967.56,1321.2,0,8,1
4.12,6.39,0.61,-1.21,-0.74,-2.81,775.53,987.66,0,8,1
2.24,6.04,1.98,-1.35,0.19,-2.84,919.66,1138.41,0,8,1
-2.32,7.44,3.64,-0.72,-0.02,-1.8,786.74,942.59,0,8,1
-3.9,8.05,3.97,-0.45,-0.2,-1.04,909.96,1187.15,0,8,1
-4.62,8.57,3.98,-0.26,-0.21,-0.23,786.01,968.55,0,8,1
-2.89,8.54,3.83,-0.19,0.0,-0.06,727.54,966.11,0,8,1
-3.71,8.17,4.76,0.08,0.44,0.44,636.03,760.12,0,8,1
-5.57,7.21,4.92,0.46,1.3,0.97,605.33,707.31,0,8,1
-1.81,7.27,3.27,0.33,0.81,1.13,697.02,897.0,0,8,1
-4.3,2.72,4.92,1.89,0.42,4.6,463.3,529.3,0,8,1
7.28,5.58,-0.65,1.99,1.55,4.24,620.82,956.48,0,8,1
11.23,3.33,-1.78,0.79,0.49,3.57,638.14,868.8,0,8,1
13.96,1.31,-1.36,-0.38,0.7,1.92,462.89,578.98,0,8,1
11.94,1.05,0.67,-0.44,0.17,0.8,517.64,627.25,0,8,1
9.77,1.08,0.29,0.15,-0.11,0.91,519.26,611.6,0,8,1
12.4,-0.04,-0.28,-0.16,0.4,0.36,432.57,535.02,0,8,1
