ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
6.2,7.99,-0.2,-0.1,0.07,0.13,551.83,643.08,0,1,1
4.43,8.59,-0.43,-0.63,0.18,-1.75,1063.07,1292.93,0,1,1
-5.78,5.51,3.01,-0.36,-0.01,-1.53,1254.35,1479.02,0,1,1
-5.99,4.66,2.91,0.25,-0.05,1.93,826.89,964.84,0,1,1
4.44,10.75,-0.45,0.22,-0.01,1.18,586.39,699.74,0,1,1
5.53,7.6,0.33,-0.22,0.06,-0.13,904.06,1037.63,0,1,1
6.94,9.03,-0.29,-0.44,-0.12,-0.89,930.88,1081.87,0,1,1
-3.23,6.68,2.61,-0.95,-0.07,-1.85,1185.47,1385.64,0,1,1
-6.15,5.34,4.65,0.01,-0.1,0.8,769.0,883.8,0,1,1
3.95,8.58,1.09,0.76,0.02,1.79,1335.45,1603.96,1,1,1
7.07,7.69,0.56,-0.14,-0.08,0.16,807.46,904.04,0,2,1
8.16,7.98,0.03,-0.33,-0.37,-1.17,902.34,1018.86,0,2,1
-4.96,5.87,2.72,-0.64,-0.21,-2.41,741.6,895.35,0,2,1
-7.16,4.12,3.91,-0.07,-0.41,0.67,689.45,857.58,0,2,1
-1.09,8.37,2.21,0.59,0.1,2.22,1067.28,1347.83,0,2,1
6.11,8.82,1.29,-0.19,0.1,0.36,1091.55,1300.88,0,2,1
4.27,8.54,1.85,-0.06,0.05,0.14,754.44,831.92,0,2,1
3.0,9.08,1.4,-0.43,-0.02,-1.86,840.24,994.71,0,2,1
-5.63,5.48,4.48,-0.38,0.15,-0.69,902.38,1114.46,0,2,1
-4.18,6.48,3.68,0.56,0.35,2.47,890.43,1044.3,0,2,1
6.07,9.55,0.67,0.18,0.45,0.84,933.81,1105.64,0,2,1
4.79,8.39,1.48,-0.11,0.1,0.06,551.76,666.11,0,2,1
6.65,8.74,1.23,-0.17,-0.25,-0.16,822.33,983.75,0,2,1
-2.49,7.07,3.02,-0.64,-0.27,-2.27,1096.54,1290.77,0,2,1
-7.56,5.73,4.09,-0.06,0.04,0.65,845.51,960.76,0,2,1
0.92,8.79,1.74,0.6,0.02,1.86,642.89,742.55,0,2,1
